values,id
0.140843822,Height
0.081792307,Get Up
0.074268237,Age
0.070652569,Income
0.059769732,Education
0.059468941,Recline Obligation
0.05120549,Unruly Children
0.048491808,Wake Walk
0.04629105,Two Arm Rests
0.041629263,Friends Switch
0.040559084,Three Arm Rests
0.038045249,Wake Bathroom
0.033801525,Baby
0.032706687,Speak
0.032185135,Move Unsold
0.031178235,Plane Travel Amount
0.030130273,Shades
0.028626893,Family Switch
0.027937205,Gender
0.017879114,Children
0.012537378,Electronics
